Group: {1000, 21493, 19535, 10946, 15352, 19417, 3794, 930, 3100, 614, 21830, 1646, 4840, 22380, 22198}

<null, S-3, Request, 1000>
<S-3, S-9.2, Request, 1000>
<S-9.2, S-18, Request, 1000>
<S-18, S-8, Request, 1000>
<S-8, S-18, Response, 1000>
<S-18, S-13, Request, 1000>
<S-13, S-18, Response, 1000>
<S-18, S-9.2, Response, 1000>
<S-9.2, S-3, Response, 1000>
<S-3, null, Response, 1000>

<null, S-3, Request, 21493>
<S-3, S-9.2, Request, 21493>
<S-9.2, S-18, Request, 21493>
<S-18, S-8, Request, 21493>
<S-8, S-18, Response, 21493>
<S-18, S-13, Request, 21493>
<S-13, S-18, Response, 21493>
<S-18, S-9.2, Response, 21493>
<S-9.2, S-3, Response, 21493>
<S-3, null, Response, 21493>

<null, S-3, Request, 19535>
<S-3, S-9.2, Request, 19535>
<S-9.2, S-18, Request, 19535>
<S-18, S-8, Request, 19535>
<S-8, S-18, Response, 19535>
<S-18, S-13, Request, 19535>
<S-13, S-18, Response, 19535>
<S-18, S-9.2, Response, 19535>
<S-9.2, S-3, Response, 19535>
<S-3, null, Response, 19535>

<null, S-3, Request, 10946>
<S-3, S-9.2, Request, 10946>
<S-9.2, S-18, Request, 10946>
<S-18, S-8, Request, 10946>
<S-8, S-18, Response, 10946>
<S-18, S-13, Request, 10946>
<S-13, S-18, Response, 10946>
<S-18, S-9.2, Response, 10946>
<S-9.2, S-3, Response, 10946>
<S-3, null, Response, 10946>

<null, S-3, Request, 15352>
<S-3, S-9.2, Request, 15352>
<S-9.2, S-18, Request, 15352>
<S-18, S-8, Request, 15352>
<S-8, S-18, Response, 15352>
<S-18, S-13, Request, 15352>
<S-13, S-18, Response, 15352>
<S-18, S-9.2, Response, 15352>
<S-9.2, S-3, Response, 15352>
<S-3, null, Response, 15352>

<null, S-3, Request, 19417>
<S-3, S-9.2, Request, 19417>
<S-9.2, S-18, Request, 19417>
<S-18, S-8, Request, 19417>
<S-8, S-18, Response, 19417>
<S-18, S-13, Request, 19417>
<S-13, S-18, Response, 19417>
<S-18, S-9.2, Response, 19417>
<S-9.2, S-3, Response, 19417>
<S-3, null, Response, 19417>

<null, S-3, Request, 3794>
<S-3, S-9.2, Request, 3794>
<S-9.2, S-18, Request, 3794>
<S-18, S-8, Request, 3794>
<S-8, S-18, Response, 3794>
<S-18, S-13, Request, 3794>
<S-13, S-18, Response, 3794>
<S-18, S-9.2, Response, 3794>
<S-9.2, S-3, Response, 3794>
