17196642386074:
<null, S-14, Request, 17196642386074>
<S-14, S-8, Request, 17196642386074>
<S-8, S-12, Request, 17196642386074>
<S-12, S-8, Response, 17196642386074>
<S-8, S-14, Response, 17196642386074>
<S-14, null, Response, 17196642386074>

17196642384977:
<null, S-14, Request, 17196642384977>
<S-14, S-9, Request, 17196642384977>
<S-9, S-4, Request, 17196642384977>
<S-4, S-9, Response, 17196642384977>
<S-9, S-14, Response, 17196642384977>
<S-14, S-9, Request, 17196642384977>
<S-9, S-14, Response, 17196642384977>
<S-14, null, Response, 17196642384977>

17196642383988:
<null, S-14, Request, 17196642383988>
<S-14, S-6, Request, 17196642383988>
<S-6, S-14, Response, 17196642383988>
<S-14, S-2, Request, 17196642383988>
<S-2, S-14, Response, 17196642383988>
<S-14, null, Response, 17196642383988>

17196642389230:
<null, S-14, Request, 17196642389230>
<S-14, S-9, Request, 17196642389230>
<S-9, S-4, Request, 17196642389230>
<S-4, S-9, Response, 17196642389230>
<S-9, S-4, Request, 17196642389230>
<S-4, S-9, Response, 17196642389230>
<S-9, S-14, Response, 17196642389230>
<S-14, null, Response, 17196642389230>

17196642384865:
<null, S-14, Request, 17196642384865>
<S-14, S-8, Request, 17196642384865>
<S-8, S-14, Response, 17196642384865>
<S-14, S-16.1, Request, 17196642384865>
<S-16.1, S-14, Response, 17196642384865>
<S-14, null, Response, 17196642384865>

17196642387916:
<null, S-14, Request, 17196642387916>
<S-14, S-8, Request, 17196642387916>
<S-8, S-10, Request, 17196642387916>
<S-10, S-8, Response, 17196642387916>
<S-8, S-12, Request, 17196642387916>
<S-12, S-8, Response, 17196642387916>
<S-8, S-14, Response, 17196642387916>
<S-14, S-9, Request, 17196642387916>
<S-9, S-4, Request, 17196642387916>
<S-4, S-9, Response, 17196642387916>
<S-9, S-4, Request, 17196642387916>
<S-4, S-9, Response, 17196642387916>
<S-9, S-14, Response, 17196642387916>
<S-14, null, Response, 17196642387916>

17196642384301:
<null, S-14, Request, 17196642384301>
<S-14, S-16.1, Request, 17196642384301>
<S-16.1, S-14, Response, 17196642384301>
<S-14, S-2, Request, 17196642384301>
<S-2, S-4, Request, 17196642384301>
<S-4, S-15, Request, 17196642384301>
<S-15, S-4, Response, 17196642384301>
<S-4, S-2, Response, 17196642384301>
<S-2, S-14, Response, 17196642384301>
<S-14, null, Response, 17196642384301>

17196642389613:
<null, S-14, Request, 17196642389613>
<S-14, S-8, Request, 17196642389613>
<S-8, S-14, Response, 17196642389613>
<S-14, S-8, Request, 17196642389613>
<S-8, S-14, Response, 17196642389613>
<S-14, null, Response, 17196642389613>

17196642381119:
<null, S-14, Request, 17196642381119>
<S-14, S-9, Request, 17196642381119>
<S-9, S-4, Request, 17196642381119>
<S-4, S-9, Response, 17196642381119>
<S-9, S-4, Request, 17196642381119>
<S-4, S-17, Request, 17196642381119>
<S-17, S-15, Request, 17196642381119>
<S-15, S-5, Request, 17196642381119>
<S-5, S-15, Response, 17196642381119>
<S-15, S-17, Response, 17196642381119>
<S-17, S-4, Response, 17196642381119>
<S-4, S-9, Response, 17196642381119>
<S-9, S-14, Response, 17196642381119>
<S-14, null, Response, 17196642381119>

17196642382808:
<null, S-14, Request, 17196642382808>
<S-14, S-6, Request, 17196642382808>
<S-6, S-13.2, Request, 17196642382808>
<S-13.2, S-2, Request, 17196642382808>
<S-2, S-15, Request, 17196642382808>
<S-15, S-2, Response, 17196642382808>
<S-2, S-13.2, Response, 17196642382808>
<S-13.2, S-9, Request, 17196642382808>
<S-9, S-4, Request, 17196642382808>
<S-4, S-9, Response, 17196642382808>
<S-9, S-13.2, Response, 17196642382808>
<S-13.2, S-6, Response, 17196642382808>
<S-6, S-14, Response, 17196642382808>
<S-14, null, Response, 17196642382808>

17196642382730:
<null, S-14, Request, 17196642382730>
<S-14, S-7.2, Request, 17196642382730>
<S-7.2, S-14, Response, 17196642382730>
<S-14, null, Response, 17196642382730>

17196642381465:
<null, S-14, Request, 17196642381465>
<S-14, S-16.2, Request, 17196642381465>
<S-16.2, S-14, Response, 17196642381465>
<S-14, S-16.1, Request, 17196642381465>
<S-16.1, S-14, Response, 17196642381465>
<S-14, null, Response, 17196642381465>

17196642383495:
<null, S-14, Request, 17196642383495>
<S-14, S-8, Request, 17196642383495>
<S-8, S-18, Request, 17196642383495>
<S-18, S-8, Response, 17196642383495>
<S-8, S-18, Request, 17196642383495>
<S-18, S-7.2, Request, 17196642383495>
<S-7.2, S-3, Request, 17196642383495>
<S-3, S-13.2, Request, 17196642383495>
<S-13.2, S-3, Response, 17196642383495>
<S-3, S-7.2, Response, 17196642383495>
<S-7.2, S-18, Response, 17196642383495>
<S-18, S-8, Response, 17196642383495>
<S-8, S-14, Response, 17196642383495>
<S-14, null, Response, 17196642383495>

17196642388520:
<null, S-14, Request, 17196642388520>
<S-14, S-2, Request, 17196642388520>
<S-2, S-14, Response, 17196642388520>
<S-14, S-9, Request, 17196642388520>
<S-9, S-4, Request, 17196642388520>
<S-4, S-9, Response, 17196642388520>
<S-9, S-14, Response, 17196642388520>
<S-14, null, Response, 17196642388520>

17196642381527:
<null, S-14, Request, 17196642381527>
<S-14, S-8, Request, 17196642381527>
<S-8, S-14, Response, 17196642381527>
<S-14, S-2, Request, 17196642381527>
<S-2, S-14, Response, 17196642381527>
<S-14, null, Response, 17196642381527>

17196642384019:
<null, S-14, Request, 17196642384019>
<S-14, S-8, Request, 17196642384019>
<S-8, S-10, Request, 17196642384019>
<S-10, S-3, Request, 17196642384019>
<S-3, S-10, Response, 17196642384019>
<S-10, S-3, Request, 17196642384019>
<S-3, S-10, Response, 17196642384019>
<S-10, S-7.1, Request, 17196642384019>
<S-7.1, S-10, Response, 17196642384019>
<S-10, S-8, Response, 17196642384019>
<S-8, S-14, Response, 17196642384019>
<S-14, null, Response, 17196642384019>

